Time,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
7.5,-0.006179552,0.01988279,-0.004913062,-0.006039794,0.012037995,-0.0013051729,19.440472,-99.17209,2240.338,15.006948,0.004533777,0.020269666,499.93665,499.29086
7.6,-0.002974811,0.019325294,-0.0030648857,-0.0044829375,0.011937474,-0.00014610153,19.440485,-99.17242,2240.3394,15.007816,0.004648934,0.02172333,499.8611,499.39832
7.7,-0.0059353244,0.016605288,-0.0028971508,-0.0036466618,0.0128170205,-0.0011571535,19.441141,-99.17205,2240.3408,15.008544,0.004933988,0.01931617,499.867,499.47256
7.8,-0.0054501677,0.021186829,-0.0031953957,-0.0011223529,0.010448447,-0.001156302,19.441149,-99.171974,2240.3433,15.01081,0.003810526,0.01719872,499.59497,499.50287
7.9,-0.0067086103,0.020745791,-0.0036156215,-0.007455434,0.0112908175,-0.0015199971,19.440773,-99.17217,2240.338,15.006186,0.0035939482,0.020959187,499.97858,499.1984
8.0,-0.008283553,0.021949023,-0.0051780436,-0.0034760332,0.01246341,-0.0019272668,19.440884,-99.17244,2240.3403,15.0075655,0.0031331498,0.018313155,499.72937,499.36588
8.1,-0.0036391204,0.018303841,-0.0006528022,-0.005696573,0.010209312,-0.00073451333,19.440989,-99.17175,2240.3396,15.009275,0.0038389903,0.022972766,499.89108,499.34915
8.2,0.001038784,0.022286728,-0.0045519006,-0.004703576,0.013456271,0.00089954206,19.441315,-99.17222,2240.3408,15.00765,0.0020086116,0.018724732,499.7474,499.34067
8.3,-0.004174079,0.018594772,-0.004655827,-0.008139339,0.012798156,-0.00054265576,19.440702,-99.17242,2240.3367,15.005587,0.004885577,0.022966057,500.08047,499.22284
8.4,-0.005661267,0.017961517,-0.0058353133,-0.005299334,0.013377394,-0.001056122,19.440908,-99.172424,2240.339,15.006542,0.0041676825,0.018610593,499.92487,499.36823
8.5,-0.0058996244,0.021457978,-0.0025213491,-0.005569411,0.011259873,-0.0012801385,19.44104,-99.17212,2240.34,15.007425,0.002908139,0.020662144,499.84653,499.2789
8.6,-0.006733292,0.021423854,-0.004162427,-0.00798097,0.010034799,-0.0015578511,19.440622,-99.17218,2240.3364,15.006119,0.0043687355,0.01870415,499.9798,499.15247
8.7,-0.00052809535,0.020547383,-0.0024822764,-0.008712982,0.010144654,0.00043486955,19.441145,-99.17217,2240.3389,15.008279,0.0035478454,0.02464709,499.9995,499.1744
8.8,-0.003259592,0.021906346,-0.005784711,-0.007504326,0.011799396,-0.00043250248,19.440321,-99.17243,2240.3367,15.005946,0.0033422306,0.021025546,499.93872,499.18143
8.9,-0.0043037906,0.019693226,-0.0029202104,-0.005956801,0.0116640935,-0.0007253348,19.441196,-99.17227,2240.3394,15.0070915,0.003563715,0.020931136,499.89465,499.30127
9.0,-0.0025662372,0.02203706,-0.003716655,-0.0065783192,0.008569173,-0.00028756724,19.44082,-99.17205,2240.3396,15.008179,0.003024389,0.020326685,499.86078,499.23065
9.1,-0.005528051,0.019267164,-0.0031479355,-0.0011229643,0.014268034,-0.0010357541,19.441086,-99.17212,2240.3418,15.008153,0.003438269,0.017100021,499.6752,499.54608
9.2,-0.0054902276,0.019896165,-0.0037543941,-0.004331061,0.011222475,-0.0011717876,19.44056,-99.17202,2240.3398,15.008585,0.003932525,0.020892046,499.8208,499.3722
9.3,-0.0015814343,0.020106263,-0.0033211038,-0.0053761904,0.0123435585,8.8395434e-05,19.441141,-99.17212,2240.3396,15.007421,0.0033227988,0.020446427,499.84946,499.3366
9.4,-0.0035080845,0.024663925,-0.0029679667,-0.0021686319,0.011100291,-0.0006760498,19.440254,-99.171844,2240.3396,15.00904,0.0035482938,0.01718624,499.57745,499.40076
9.5,-0.00038782536,0.018295862,-0.0057131145,-0.0058818622,0.013408835,0.00052044896,19.440498,-99.1724,2240.337,15.005665,0.0039068274,0.017910887,499.93994,499.35162
9.6,-0.0021000204,0.018184595,-0.0031663198,-0.0062287427,0.010860269,-0.000265616,19.440542,-99.17201,2240.3362,15.007523,0.0044304677,0.018274222,499.91943,499.32056
9.7,-0.0023583218,0.019506201,-0.002676567,-0.0060864505,0.010072109,-4.5998095e-05,19.440765,-99.172325,2240.3416,15.008425,0.003524979,0.024963636,499.9237,499.31653
9.8,-0.0046800496,0.02422756,-0.0045575965,-0.003955447,0.011561076,-0.0006519595,19.440783,-99.1723,2240.3418,15.007907,0.0031344832,0.018652614,499.73236,499.31525
9.9,-0.003054036,0.019319639,-0.0031342395,-0.005175377,0.010800936,-0.0004093127,19.441105,-99.17207,2240.3398,15.00816,0.003954486,0.018889602,499.85196,499.35052
10.0,-0.006384331,0.017797716,-0.0037994646,-0.004379517,0.011374959,-0.0013687692,19.441149,-99.17208,2240.3413,15.008786,0.0041287076,0.019348085,499.86722,499.4033
10.1,-0.0060293665,0.019322366,-0.0048828144,-0.010065139,0.011122338,-0.0013973007,19.440037,-99.17218,2240.3335,15.00451,0.004982159,0.01977982,500.1451,499.09787
10.2,-0.0026620294,0.022010118,-0.0043101236,-0.0029771437,0.010742583,-0.0002199587,19.441439,-99.17203,2240.3438,15.010013,0.0031123117,0.01863021,499.6765,499.40402
10.3,-0.0021120321,0.016209967,-0.0029470231,-0.008168588,0.011810728,-0.00018648551,19.440796,-99.17185,2240.3374,15.006833,0.0041177063,0.020899136,500.09244,499.26672
10.4,-0.003217605,0.018556952,-0.0029952824,-0.006308422,0.012093748,-0.00056087924,19.440727,-99.17199,2240.3372,15.006485,0.0035717916,0.01946919,499.93692,499.3066
10.5,-0.0029935269,0.017823376,-0.0044462383,-0.007403227,0.013853525,-0.0004186531,19.440247,-99.172264,2240.3357,15.005213,0.0034589977,0.02109167,500.02194,499.27594
10.6,-0.0019759266,0.01831773,-0.0044456236,-0.007752524,0.013267352,3.6968573e-05,19.440605,-99.17232,2240.337,15.006172,0.0045079226,0.019795693,500.04132,499.24924
10.7,-0.008811,0.023350485,-0.0036599394,-0.004554204,0.010732696,-0.00227174,19.440254,-99.17192,2240.3398,15.008124,0.0027835679,0.018072102,499.76044,499.2788
10.8,-0.0023909349,0.018572196,-0.00020925887,-0.0073344246,0.0104236165,-0.00025034818,19.440588,-99.17208,2240.3381,15.007034,0.0036198108,0.024708692,499.9837,499.27643
10.9,-0.004643437,0.020301543,-0.0034154765,-0.010114745,0.008979258,-0.001036614,19.440401,-99.17186,2240.3357,15.007224,0.0041884,0.022502724,500.09592,499.07278
11.0,-0.0069732494,0.022136487,-0.0035369955,-0.0071981107,0.009424203,-0.0016814655,19.440079,-99.17221,2240.337,15.006268,0.003769221,0.020727377,499.9245,499.17786
11.1,-0.005750719,0.0199508,-0.0034933276,-0.0059692594,0.012830737,-0.0012302863,19.439842,-99.17199,2240.3374,15.006638,0.0041472483,0.021329366,499.93198,499.3057
11.2,-0.00508599,0.018432006,-0.0031315014,-0.008076136,0.010258564,-0.0011090252,19.440464,-99.17195,2240.3367,15.006524,0.004216408,0.020797413,500.05273,499.21
11.3,-0.005465266,0.018473908,-0.0046448167,-0.0074322256,0.010728513,-0.0011632299,19.4406,-99.17238,2240.338,15.006073,0.0028703571,0.02011466,500.01218,499.2362
11.4,-0.004230596,0.019897737,-0.0051229596,-0.0077575273,0.013298172,-0.000649929,19.440254,-99.172264,2240.3394,15.006728,0.0033334824,0.022421274,500.01495,499.22037
11.5,-0.0039940323,0.02111429,-0.0029688608,-0.0059649204,0.010133444,-0.00064287207,19.440262,-99.172264,2240.338,15.00718,0.004583042,0.019435514,499.88443,499.27557
11.6,-0.0019926673,0.01962664,-0.0034646094,-0.005557233,0.011154289,-0.0001316902,19.440681,-99.17191,2240.3394,15.008151,0.0034493394,0.020181604,499.8718,499.32974
11.7,-0.0010091083,0.016681336,-0.004626848,-0.0069885845,0.01341048,0.00032155338,19.440449,-99.17236,2240.3381,15.005484,0.0032460906,0.022314671,500.0286,499.3389
11.8,-0.0029707279,0.017506488,-0.0053164028,-0.0064980653,0.011363422,-0.0002241906,19.44116,-99.172646,2240.3408,15.0070095,0.0035761935,0.022365522,499.97073,499.32422
11.9,-0.004164883,0.021958068,-0.006136829,-0.0061955177,0.012325182,-0.0006089473,19.440022,-99.17233,2240.3384,15.006615,0.0036842062,0.02061474,499.8957,499.2561
12.0,-0.004331423,0.020599723,-0.0038970318,-0.0060338923,0.0090482,-0.00081129477,19.440653,-99.172134,2240.3403,15.0082445,0.0030991856,0.020080894,499.8799,499.2704
12.1,-0.008109666,0.023363836,-0.0017031487,-0.0019912843,0.009306674,-0.0019616024,19.440357,-99.17195,2240.343,15.010776,0.003444961,0.01901881,499.61783,499.40842
12.2,-0.0057078535,0.019224495,-0.0029437859,-0.0052703046,0.010900113,-0.0012203191,19.440598,-99.17183,2240.341,15.008937,0.0034344916,0.018043723,499.887,499.3337
12.3,-0.0016866332,0.01927685,-0.0050924383,-0.0053516594,0.012010646,0.00013820664,19.440853,-99.17244,2240.341,15.006958,0.0023807075,0.0207979,499.87534,499.35587
12.4,-0.0046292436,0.01802209,-0.002493864,-0.0068582366,0.011391959,-0.0008581794,19.4401,-99.172035,2240.3374,15.006884,0.0046282723,0.022418413,500.01086,499.30084
12.5,-0.0031850324,0.020928964,-0.0051723234,-0.0031278918,0.011921407,-0.00031465024,19.440615,-99.17238,2240.343,15.008182,0.0025384047,0.02012195,499.71164,499.438
12.6,-0.004763516,0.02004943,-0.0009610588,-0.005799891,0.008267689,-0.0010906465,19.440216,-99.17173,2240.3406,15.009889,0.0032729933,0.02352031,499.87338,499.3001
12.7,-0.0048330515,0.01932013,-0.0012655389,-0.0044821743,0.011108466,-0.001063229,19.4404,-99.172066,2240.3423,15.008411,0.0020120936,0.02382781,499.81924,499.39047
12.8,-0.007959501,0.022462584,-0.0050024,-0.0057881116,0.011833834,-0.0018184821,19.439741,-99.17228,2240.3394,15.006071,0.0027914585,0.019794084,499.87668,499.25592
12.9,-0.0050319787,0.021835625,-0.0032860972,-0.0034545923,0.010676582,-0.00093486294,19.440454,-99.17201,2240.3435,15.009512,0.0028274918,0.021354161,499.73257,499.38843
13.0,-0.0012424454,0.01942125,-0.0020182617,-0.0036329373,0.011078767,0.00024913187,19.441015,-99.17195,2240.3423,15.009328,0.003540075,0.01885698,499.7781,499.432
13.1,-0.0043336884,0.019161813,-0.00477246,-0.0070988913,0.011987728,-0.0007619889,19.440092,-99.17225,2240.337,15.005965,0.00416644,0.02023809,499.99234,499.2602
13.2,-0.004415549,0.01978857,-0.0017356835,-0.0053807474,0.010326208,-0.00088106043,19.440393,-99.1719,2240.3406,15.008275,0.003098614,0.021954928,499.87292,499.3304
13.3,-0.005198115,0.021794885,-0.0027569998,-0.0034276058,0.010593261,-0.0010261124,19.440077,-99.17192,2240.341,15.00914,0.0036111667,0.02053162,499.74127,499.3903
13.4,-0.005501372,0.018088512,-0.004131453,-0.0049113953,0.011155131,-0.0010946856,19.440144,-99.17227,2240.3381,15.007745,0.005217927,0.018101256,499.8971,499.37317
13.5,-0.0065592253,0.018870607,-0.0035183914,-0.006364198,0.011938331,-0.0015701193,19.43972,-99.17188,2240.3394,15.007723,0.0033908156,0.02060885,499.9545,499.2925
13.6,-0.002888562,0.019088395,-0.0041744467,-0.0059124897,0.010989937,-0.0003878373,19.440557,-99.17205,2240.3403,15.008235,0.0030342438,0.020907216,499.89337,499.32257
13.7,-0.004030445,0.021945015,-0.0029678587,-0.006436054,0.011304255,-0.00066364516,19.440369,-99.17204,2240.339,15.007027,0.0033862565,0.020551268,499.89087,499.23993
13.8,-0.0059977495,0.022004649,-0.0038996078,-0.0035678584,0.012255094,-0.0011768647,19.440205,-99.172325,2240.3396,15.006648,0.003608338,0.018087693,499.76074,499.369
13.9,-0.0027617803,0.021661818,-0.003727287,-0.009051795,0.008929827,-0.00038193905,19.440144,-99.17213,2240.3376,15.006505,0.0027309854,0.022555426,500.01105,499.1138
14.0,-0.0061320327,0.01986587,-0.0028255284,-0.0041232086,0.009391679,-0.0014449076,19.440489,-99.17194,2240.3413,15.009358,0.0031995946,0.019092046,499.7862,499.374
14.1,-0.0052413475,0.0192644,-0.0042480975,-0.002230311,0.01217175,-0.0010432352,19.440567,-99.17218,2240.3428,15.008505,0.002608986,0.020122085,499.7173,499.4952
14.2,-0.0003967394,0.017681882,-0.0026328769,-0.008247369,0.009112162,0.00021536436,19.44066,-99.1718,2240.3389,15.008225,0.002570545,0.021865178,500.0154,499.2389
14.3,-0.0024122233,0.01938355,-0.0044771004,-0.0061318423,0.012665597,-0.00013882389,19.44022,-99.1724,2240.3376,15.005687,0.003618374,0.019568812,499.92224,499.31406
14.4,-0.0058148527,0.018423885,-0.0045665205,-0.004902613,0.011177388,-0.0012970224,19.439802,-99.17211,2240.341,15.008077,0.0025612095,0.022405114,499.8784,499.38104
14.5,-0.0005904881,0.020500965,-0.0038688872,-0.006451827,0.012160835,0.00041638868,19.440615,-99.17219,2240.3394,15.007059,0.0029245568,0.01959689,499.90155,499.2777
14.6,-0.0026952333,0.018648803,-0.0025563613,-0.00758024,0.008211262,-0.00033193687,19.440306,-99.172104,2240.3389,15.008033,0.0037744672,0.022741295,499.99298,499.25256
14.7,-0.005131995,0.021356083,-0.0038397554,-0.0037885446,0.012296774,-0.0010293928,19.43984,-99.17204,2240.3418,15.007634,0.0021553212,0.020473868,499.7588,499.39102
14.8,-0.0030287486,0.01963953,-0.004465364,-0.004638544,0.011296281,-0.00046893005,19.440207,-99.17211,2240.3389,15.007528,0.0032602663,0.017134871,499.81808,499.368
14.9,-0.007040903,0.023068182,-0.0021452215,-0.0076118945,0.007287395,-0.001656617,19.439428,-99.1723,2240.3376,15.006657,0.0041405573,0.022173382,499.94104,499.14093
15.0,0.002968691,0.020178244,-0.0040613543,-0.00276147,0.011961742,0.0013110797,19.440174,-99.172035,2240.34,15.008023,0.0022234966,0.018290527,499.66946,499.48486
