Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
1.0,0.0004,0.0063,0.0116,0.0027,-0.0025,-0.0092,19.443659,-99.170003,2240.37,14.964,-0.053,-0.016,500.67,500.02,0.00,0.00,0.00,0.00,0.00,0.00,19.443665,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.1,0.0012,-0.0012,-0.0007,-0.0030,0.0007,-0.0057,19.443648,-99.170002,2240.39,15.030,0.039,0.040,499.14,500.47,0.00,0.00,0.00,0.00,0.00,0.00,19.443651,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.2,-0.0048,0.0016,0.0085,0.0040,0.0001,-0.0018,19.443644,-99.170001,2240.56,14.980,-0.068,-0.081,500.04,500.02,0.00,0.00,0.00,0.00,0.00,0.00,19.443638,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.3,-0.0014,0.0066,0.0000,-0.0001,-0.0000,-0.0014,19.443625,-99.170005,2240.43,14.947,-0.011,0.062,499.93,498.97,0.00,0.00,0.00,0.00,0.00,0.00,19.443624,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.4,0.0002,-0.0045,0.0055,0.0034,0.0063,0.0069,19.443615,-99.170000,2240.18,14.991,0.016,0.095,501.40,499.71,0.00,0.00,0.00,0.00,0.00,0.00,19.443611,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.5,0.0003,0.0029,0.0045,0.0024,0.0005,0.0013,19.443593,-99.170003,2240.32,14.976,-0.057,0.010,499.72,500.23,0.00,0.00,0.00,0.00,0.00,0.00,19.443597,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.6,0.0031,0.0003,0.0051,0.0050,0.0054,-0.0013,19.443577,-99.170005,2240.50,15.013,0.008,-0.044,499.90,501.15,0.00,0.00,0.00,0.00,0.00,0.00,19.443584,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.7,0.0031,0.0034,-0.0008,0.0009,-0.0072,0.0090,19.443564,-99.169994,2240.37,15.021,-0.067,-0.096,498.74,499.88,0.00,0.00,0.00,0.00,0.00,0.00,19.443570,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.8,0.0001,0.0047,-0.0017,0.0049,0.0009,0.0054,19.443553,-99.170006,2240.49,14.976,-0.062,0.046,500.65,500.78,0.00,0.00,0.00,0.00,0.00,0.00,19.443557,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
1.9,-0.0025,-0.0022,-0.0011,0.0022,-0.0041,0.0029,19.443543,-99.170008,2240.48,14.934,0.051,-0.003,500.68,499.89,0.00,0.00,0.00,0.00,0.00,0.00,19.443543,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.0,-0.0020,-0.0011,0.0036,-0.0017,-0.0020,-0.0041,19.443529,-99.170007,2240.55,14.999,0.048,0.026,500.34,500.99,0.00,0.00,0.00,0.00,0.00,0.00,19.443530,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.1,0.0018,-0.0066,-0.0027,0.0024,-0.0037,-0.0037,19.443512,-99.170007,2240.33,14.956,0.004,0.029,499.64,500.55,0.00,0.00,0.00,0.00,0.00,0.00,19.443516,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.2,0.0006,-0.0009,-0.0011,-0.0025,-0.0048,-0.0028,19.443509,-99.170002,2240.15,15.008,-0.001,0.048,499.85,499.63,0.00,0.00,0.00,0.00,0.00,0.00,19.443503,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.3,0.0067,0.0013,0.0066,0.0029,-0.0056,0.0022,19.443494,-99.169995,2240.45,15.070,0.008,0.001,499.59,498.99,0.00,0.00,0.00,0.00,0.00,0.00,19.443489,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.4,0.0067,-0.0030,0.0020,-0.0029,-0.0012,-0.0068,19.443476,-99.169997,2240.48,15.004,-0.037,-0.104,500.07,500.30,0.00,0.00,0.00,0.00,0.00,0.00,19.443476,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.5,-0.0011,0.0006,0.0040,-0.0021,0.0050,-0.0048,19.443460,-99.169996,2240.36,14.999,-0.037,0.038,500.84,500.79,0.00,0.00,0.00,0.00,0.00,0.00,19.443462,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.6,-0.0028,0.0004,-0.0118,0.0051,-0.0001,-0.0045,19.443447,-99.170002,2240.25,15.001,-0.057,-0.067,500.45,499.43,0.00,0.00,0.00,0.00,0.00,0.00,19.443448,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.7,0.0002,-0.0003,-0.0018,0.0062,0.0007,-0.0038,19.443441,-99.169998,2240.43,14.989,0.074,0.015,499.64,500.04,0.00,0.00,0.00,0.00,0.00,0.00,19.443435,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.8,0.0082,-0.0028,-0.0029,-0.0033,0.0008,-0.0041,19.443423,-99.170006,2240.52,15.001,-0.026,-0.029,499.85,500.70,0.00,0.00,0.00,0.00,0.00,0.00,19.443421,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
2.9,0.0005,-0.0051,-0.0013,-0.0045,-0.0016,-0.0017,19.443407,-99.170005,2240.29,14.976,0.006,0.001,500.26,500.60,0.00,0.00,0.00,0.00,0.00,0.00,19.443408,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.0,0.0015,-0.0012,-0.0010,0.0001,-0.0035,0.0014,19.443388,-99.170006,2240.53,14.972,-0.070,0.021,499.80,499.72,0.00,0.00,0.00,0.00,0.00,0.00,19.443394,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.1,-0.0004,0.0045,0.0080,-0.0089,0.0006,-0.0038,19.443388,-99.169997,2240.44,15.004,0.023,0.005,499.68,499.79,0.00,0.00,0.00,0.00,0.00,0.00,19.443381,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.2,0.0038,0.0070,0.0051,0.0024,-0.0027,-0.0047,19.443373,-99.170001,2240.61,14.962,-0.000,0.037,500.75,499.31,0.00,0.00,0.00,0.00,0.00,0.00,19.443367,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.3,0.0054,-0.0008,0.0033,0.0060,0.0024,0.0003,19.443359,-99.170003,2240.40,15.016,-0.019,0.008,500.34,499.62,0.00,0.00,0.00,0.00,0.00,0.00,19.443354,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.4,-0.0034,-0.0015,0.0013,0.0072,0.0055,-0.0035,19.443344,-99.170007,2240.54,15.046,0.075,-0.018,500.08,500.59,0.00,0.00,0.00,0.00,0.00,0.00,19.443340,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.5,0.0100,-0.0053,-0.0063,-0.0033,0.0033,-0.0024,19.443329,-99.170000,2240.34,14.987,0.037,-0.025,500.24,499.90,0.00,0.00,0.00,0.00,0.00,0.00,19.443327,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.6,0.0018,0.0049,-0.0046,0.0012,-0.0055,-0.0043,19.443308,-99.170000,2240.29,15.065,0.054,-0.017,499.71,500.04,0.00,0.00,0.00,0.00,0.00,0.00,19.443313,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.7,-0.0030,0.0051,0.0001,-0.0040,-0.0037,-0.0037,19.443305,-99.169992,2240.37,14.944,0.075,-0.049,499.97,500.17,0.00,0.00,0.00,0.00,0.00,0.00,19.443300,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.8,0.0023,-0.0058,0.0055,0.0017,-0.0048,0.0036,19.443290,-99.169994,2240.55,14.940,0.032,-0.036,500.51,500.10,0.00,0.00,0.00,0.00,0.00,0.00,19.443286,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
3.9,0.0050,-0.0025,0.0001,-0.0030,-0.0068,0.0060,19.443274,-99.169999,2240.49,14.983,-0.046,0.013,500.25,500.46,0.00,0.00,0.00,0.00,0.00,0.00,19.443273,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.0,-0.0023,0.0020,0.0005,0.0009,0.0034,0.0002,19.443265,-99.169995,2240.37,14.962,0.034,0.064,500.47,499.94,0.00,0.00,0.00,0.00,0.00,0.00,19.443259,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.1,0.0044,-0.0065,-0.0008,0.0058,-0.0012,0.0013,19.443239,-99.170007,2240.43,15.079,0.002,0.037,500.98,500.29,0.00,0.00,0.00,0.00,0.00,0.00,19.443246,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.2,-0.0031,-0.0006,0.0024,-0.0017,-0.0020,0.0070,19.443236,-99.170004,2240.49,14.914,-0.054,-0.023,499.63,499.12,0.00,0.00,0.00,0.00,0.00,0.00,19.443232,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.3,-0.0054,0.0004,-0.0026,-0.0018,-0.0015,0.0067,19.443213,-99.169999,2240.41,14.978,-0.075,-0.075,499.93,499.88,0.00,0.00,0.00,0.00,0.00,0.00,19.443219,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.4,0.0089,-0.0025,0.0036,0.0023,0.0034,0.0025,19.443198,-99.170006,2240.40,14.996,-0.032,0.028,499.24,499.59,0.00,0.00,0.00,0.00,0.00,0.00,19.443205,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.5,0.0082,-0.0002,0.0018,0.0007,0.0050,0.0021,19.443191,-99.170004,2240.30,14.934,-0.005,-0.054,500.11,500.46,0.00,0.00,0.00,0.00,0.00,0.00,19.443192,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.6,-0.0015,-0.0079,0.0025,0.0010,0.0016,0.0054,19.443177,-99.169998,2240.46,15.025,0.003,0.029,499.56,500.88,0.00,0.00,0.00,0.00,0.00,0.00,19.443178,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.7,0.0004,-0.0065,0.0092,-0.0024,-0.0009,0.0018,19.443159,-99.170007,2240.52,15.068,0.036,-0.001,500.05,500.34,0.00,0.00,0.00,0.00,0.00,0.00,19.443165,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.8,-0.0015,0.0037,-0.0005,0.0006,0.0039,-0.0008,19.443145,-99.169999,2240.31,15.015,-0.003,-0.020,499.56,501.09,0.00,0.00,0.00,0.00,0.00,0.00,19.443151,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
4.9,0.0031,-0.0025,0.0056,-0.0022,-0.0009,0.0033,19.443139,-99.169996,2240.17,15.039,-0.085,-0.018,500.07,499.23,0.00,0.00,0.00,0.00,0.00,0.00,19.443138,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.0,-0.0013,-0.0035,0.0003,-0.0001,-0.0025,-0.0015,19.443116,-99.170006,2240.25,15.041,-0.029,0.008,499.91,499.95,0.00,0.00,0.00,0.00,0.00,0.00,19.443124,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.1,-0.0029,-0.0099,0.0008,-0.0007,0.0006,0.0033,19.443104,-99.169994,2240.29,15.035,-0.136,-0.006,500.58,499.38,0.00,0.00,0.00,0.00,0.00,0.00,19.443110,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.2,0.0048,-0.0033,-0.0091,0.0040,-0.0031,0.0019,19.443094,-99.170001,2240.38,14.929,-0.027,-0.045,498.97,500.27,0.00,0.00,0.00,0.00,0.00,0.00,19.443097,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.3,-0.0006,0.0005,-0.0068,0.0023,-0.0025,0.0047,19.443078,-99.170002,2240.06,14.984,-0.020,-0.030,499.31,499.72,0.00,0.00,0.00,0.00,0.00,0.00,19.443083,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.4,-0.0047,-0.0005,0.0043,0.0035,0.0063,0.0022,19.443062,-99.169994,2240.32,14.969,-0.010,0.058,500.54,499.96,0.00,0.00,0.00,0.00,0.00,0.00,19.443070,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.5,-0.0046,-0.0026,-0.0091,0.0007,0.0031,-0.0039,19.443052,-99.170002,2240.30,14.971,-0.060,-0.011,500.02,499.99,0.00,0.00,0.00,0.00,0.00,0.00,19.443056,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.6,-0.0000,-0.0046,0.0067,-0.0019,-0.0066,0.0139,19.443048,-99.170007,2240.16,15.030,0.045,0.045,500.75,499.83,0.00,0.00,0.00,0.00,0.00,0.00,19.443043,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.7,0.0009,0.0015,0.0059,0.0048,-0.0010,-0.0007,19.443022,-99.169994,2240.31,14.944,0.038,0.050,500.04,500.39,0.00,0.00,0.00,0.00,0.00,0.00,19.443029,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.8,0.0067,0.0080,0.0050,0.0010,-0.0036,-0.0011,19.443013,-99.170006,2240.42,14.925,0.096,0.047,500.80,500.40,0.00,0.00,0.00,0.00,0.00,0.00,19.443016,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
5.9,0.0106,0.0054,0.0058,0.0013,-0.0002,-0.0033,19.443004,-99.170004,2240.17,15.034,-0.078,-0.029,500.20,500.10,0.00,0.00,0.00,0.00,0.00,0.00,19.443002,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.0,0.0048,0.0067,0.0049,-0.0043,-0.0027,-0.0046,19.442981,-99.170000,2240.49,14.997,0.006,-0.038,499.31,499.45,0.00,0.00,0.00,0.00,0.00,0.00,19.442989,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.1,-0.0005,-0.0001,-0.0007,0.0065,0.0009,0.0103,19.442967,-99.170000,2240.64,14.979,-0.012,0.045,499.94,499.72,0.00,0.00,0.00,0.00,0.00,0.00,19.442975,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.2,-0.0005,0.0041,-0.0023,0.0107,-0.0072,0.0029,19.442968,-99.170006,2240.68,15.004,0.056,-0.056,501.15,499.50,0.00,0.00,0.00,0.00,0.00,0.00,19.442962,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.3,0.0002,0.0008,-0.0007,-0.0063,-0.0063,-0.0035,19.442943,-99.170003,2240.41,15.021,0.048,-0.028,501.06,499.34,0.00,0.00,0.00,0.00,0.00,0.00,19.442948,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.4,-0.0039,-0.0054,-0.0069,-0.0018,-0.0048,-0.0056,19.442941,-99.169995,2240.52,15.007,0.012,0.131,499.20,499.61,0.00,0.00,0.00,0.00,0.00,0.00,19.442935,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.5,-0.0058,0.0007,-0.0032,0.0011,-0.0027,-0.0051,19.442927,-99.170002,2240.27,15.008,-0.028,-0.001,500.09,500.12,0.00,0.00,0.00,0.00,0.00,0.00,19.442921,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.6,0.0051,-0.0038,0.0029,0.0007,0.0077,-0.0056,19.442905,-99.169996,2240.57,14.991,-0.056,-0.026,500.01,500.40,0.00,0.00,0.00,0.00,0.00,0.00,19.442908,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.7,0.0027,-0.0036,0.0055,-0.0056,-0.0004,-0.0038,19.442892,-99.169996,2240.60,15.039,-0.009,0.014,499.02,500.31,0.00,0.00,0.00,0.00,0.00,0.00,19.442894,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.8,0.0057,0.0025,0.0006,0.0006,-0.0065,-0.0004,19.442879,-99.169993,2240.23,15.003,0.009,0.009,500.25,501.04,0.00,0.00,0.00,0.00,0.00,0.00,19.442881,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
6.9,0.0010,0.0008,-0.0053,-0.0053,-0.0008,-0.0073,19.442859,-99.170003,2240.61,15.040,0.021,-0.008,500.37,500.28,0.00,0.00,0.00,0.00,0.00,0.00,19.442867,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.0,0.0008,0.0036,-0.0045,-0.0020,0.0008,-0.0035,19.442849,-99.169999,2240.44,14.966,0.048,-0.066,500.18,498.73,0.00,0.00,0.00,0.00,0.00,0.00,19.442854,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.1,-0.0053,-0.0033,-0.0027,-0.0039,0.0016,-0.0010,19.442847,-99.169994,2240.45,15.024,0.010,-0.016,500.73,499.04,0.00,0.00,0.00,0.00,0.00,0.00,19.442840,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.2,0.0013,-0.0048,-0.0003,0.0005,-0.0022,0.0036,19.442834,-99.170002,2240.63,14.958,-0.049,-0.026,499.99,500.78,0.00,0.00,0.00,0.00,0.00,0.00,19.442827,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.3,0.0034,-0.0022,0.0046,0.0008,-0.0020,-0.0056,19.442821,-99.169998,2240.32,15.010,0.078,-0.072,500.46,499.71,0.00,0.00,0.00,0.00,0.00,0.00,19.442813,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.4,-0.0012,-0.0054,-0.0000,0.0078,-0.0062,0.0039,19.442792,-99.169998,2240.28,15.011,-0.038,0.012,500.03,498.87,0.00,0.00,0.00,0.00,0.00,0.00,19.442800,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.5,-0.0027,0.0019,-0.0015,0.0000,-0.0001,-0.0033,19.442779,-99.169996,2240.35,14.979,0.059,-0.010,500.36,499.61,0.00,0.00,0.00,0.00,0.00,0.00,19.442786,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.6,0.0010,-0.0018,-0.0030,0.0041,0.0095,0.0004,19.442770,-99.169993,2240.13,15.031,-0.041,-0.024,499.96,499.57,0.00,0.00,0.00,0.00,0.00,0.00,19.442772,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.7,-0.0026,-0.0067,-0.0003,0.0019,0.0065,0.0028,19.442762,-99.170001,2240.33,15.009,0.055,0.049,499.65,500.13,0.00,0.00,0.00,0.00,0.00,0.00,19.442759,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.8,-0.0010,0.0005,-0.0051,0.0041,0.0041,0.0029,19.442747,-99.170003,2240.57,14.938,0.023,-0.030,499.03,500.56,0.00,0.00,0.00,0.00,0.00,0.00,19.442745,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
7.9,-0.0025,0.0002,0.0006,-0.0047,-0.0036,-0.0054,19.442737,-99.170004,2240.45,14.999,0.008,0.071,499.86,499.39,0.00,0.00,0.00,0.00,0.00,0.00,19.442732,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.0,-0.0087,-0.0007,0.0030,0.0024,-0.0070,0.0012,19.442718,-99.170003,2240.31,14.990,-0.070,-0.007,499.38,499.67,0.00,0.00,0.00,0.00,0.00,0.00,19.442718,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.1,0.0015,-0.0041,0.0044,-0.0009,0.0037,-0.0035,19.442712,-99.170006,2240.67,15.079,-0.053,-0.026,500.09,500.38,0.00,0.00,0.00,0.00,0.00,0.00,19.442705,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.2,0.0093,0.0019,0.0098,0.0003,-0.0052,0.0042,19.442684,-99.170000,2240.47,15.050,-0.027,0.017,499.35,499.73,0.00,0.00,0.00,0.00,0.00,0.00,19.442691,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.3,-0.0018,-0.0047,0.0002,-0.0033,0.0011,-0.0001,19.442683,-99.169995,2240.15,15.043,-0.033,-0.016,500.52,499.41,0.00,0.00,0.00,0.00,0.00,0.00,19.442678,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.4,-0.0036,-0.0058,0.0012,-0.0012,-0.0041,0.0031,19.442660,-99.170002,2240.24,14.984,0.032,0.001,499.77,499.85,0.00,0.00,0.00,0.00,0.00,0.00,19.442664,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.5,-0.0008,0.0021,0.0012,-0.0019,-0.0020,-0.0046,19.442650,-99.169997,2240.50,15.010,-0.026,0.086,499.66,499.85,0.00,0.00,0.00,0.00,0.00,0.00,19.442651,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.6,-0.0043,0.0009,0.0016,-0.0079,-0.0005,0.0002,19.442633,-99.169999,2240.45,14.936,-0.011,0.031,499.39,499.31,0.00,0.00,0.00,0.00,0.00,0.00,19.442637,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.7,0.0029,-0.0033,-0.0003,-0.0092,0.0027,0.0074,19.442617,-99.169996,2240.49,15.081,-0.083,-0.046,499.56,500.16,0.00,0.00,0.00,0.00,0.00,0.00,19.442624,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.8,0.0014,0.0025,0.0041,0.0004,-0.0079,-0.0043,19.442606,-99.169994,2240.29,14.975,-0.112,-0.059,500.94,499.23,0.00,0.00,0.00,0.00,0.00,0.00,19.442610,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
8.9,-0.0004,-0.0039,0.0023,-0.0032,0.0009,-0.0003,19.442594,-99.169999,2240.36,15.019,-0.068,0.046,499.49,499.91,0.00,0.00,0.00,0.00,0.00,0.00,19.442597,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.0,0.0055,0.0031,-0.0067,-0.0051,0.0018,-0.0003,19.442590,-99.169993,2240.61,14.926,0.012,0.027,499.49,499.81,0.00,0.00,0.00,0.00,0.00,0.00,19.442583,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.1,-0.0008,-0.0014,0.0056,0.0075,0.0019,-0.0004,19.442568,-99.169997,2240.25,15.009,0.017,0.067,499.60,500.09,0.00,0.00,0.00,0.00,0.00,0.00,19.442570,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.2,-0.0006,0.0003,0.0006,0.0068,-0.0015,-0.0060,19.442559,-99.170008,2240.48,14.997,-0.034,-0.039,500.89,499.69,0.00,0.00,0.00,0.00,0.00,0.00,19.442556,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.3,0.0050,-0.0004,0.0049,-0.0005,0.0009,0.0001,19.442541,-99.169994,2240.40,15.033,-0.037,0.013,499.90,500.11,0.00,0.00,0.00,0.00,0.00,0.00,19.442543,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.4,0.0026,0.0071,0.0048,0.0054,0.0026,-0.0036,19.442536,-99.170001,2240.60,14.995,-0.000,-0.068,498.98,499.61,0.00,0.00,0.00,0.00,0.00,0.00,19.442529,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.5,0.0095,0.0006,0.0008,-0.0007,0.0007,-0.0050,19.442510,-99.170005,2240.13,14.921,0.044,0.004,500.28,499.98,0.00,0.00,0.00,0.00,0.00,0.00,19.442516,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.6,0.0036,-0.0051,0.0083,-0.0021,0.0023,-0.0022,19.442499,-99.170007,2240.51,14.966,-0.055,-0.047,499.92,499.87,0.00,0.00,0.00,0.00,0.00,0.00,19.442502,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.7,0.0054,-0.0032,-0.0073,0.0032,-0.0012,-0.0036,19.442481,-99.169995,2240.50,15.063,-0.041,0.040,500.79,499.40,0.00,0.00,0.00,0.00,0.00,0.00,19.442489,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.8,0.0006,0.0100,-0.0030,0.0044,0.0001,0.0026,19.442478,-99.169994,2240.33,14.972,0.029,0.075,499.94,499.11,0.00,0.00,0.00,0.00,0.00,0.00,19.442475,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
9.9,0.0026,-0.0016,0.0011,-0.0026,0.0043,0.0024,19.442468,-99.170005,2240.47,14.970,-0.007,0.015,499.58,500.35,0.00,0.00,0.00,0.00,0.00,0.00,19.442462,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
10.0,-0.0037,-0.0024,0.0000,0.0017,-0.0002,0.0028,19.442449,-99.170004,2240.47,14.979,0.001,0.017,500.44,500.43,0.00,0.00,0.00,0.00,0.00,0.00,19.442448,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
